[LEXTOKEN] DATATYPE -> 'int' (line 38, pos 533)
[LEXTOKEN] LBRACE -> '{' (line 38, pos 536)
[LEXTOKEN] NUMBER -> '10' (line 38, pos 537)
[LEXTOKEN] COMMA -> ',' (line 38, pos 539)
[LEXTOKEN] NUMBER -> '20' (line 38, pos 541)
[LEXTOKEN] COMMA -> ',' (line 38, pos 543)
[LEXTOKEN] NUMBER -> '30' (line 38, pos 545)
[LEXTOKEN] RBRACE -> '}' (line 38, pos 547)
[LEXTOKEN] IDENTIFIER -> 'mapa' (line 39, pos 550)
[LEXTOKEN] COLON -> ':' (line 39, pos 555)
[LEXTOKEN] ASSIGN -> '=' (line 39, pos 556)
[LEXTOKEN] MAP -> 'map' (line 39, pos 558)
[LEXTOKEN] LBRACKET -> '[' (line 39, pos 561)
[LEXTOKEN] DATATYPE -> 'string' (line 39, pos 562)
[LEXTOKEN] RBRACKET -> ']' (line 39, pos 568)
[LEXTOKEN] DATATYPE -> 'int' (line 39, pos 569)
[LEXTOKEN] LBRACE -> '{' (line 39, pos 572)
[LEXTOKEN] STRING -> '"uno"' (line 39, pos 573)
[LEXTOKEN] COLON -> ':' (line 39, pos 578)
[LEXTOKEN] NUMBER -> '1' (line 39, pos 580)
[LEXTOKEN] COMMA -> ',' (line 39, pos 581)
[LEXTOKEN] STRING -> '"dos"' (line 39, pos 583)
[LEXTOKEN] COLON -> ':' (line 39, pos 588)
[LEXTOKEN] NUMBER -> '2' (line 39, pos 590)
[LEXTOKEN] RBRACE -> '}' (line 39, pos 591)
[LEXTOKEN] IDENTIFIER -> 'persona' (line 40, pos 594)
[LEXTOKEN] COLON -> ':' (line 40, pos 602)
[LEXTOKEN] ASSIGN -> '=' (line 40, pos 603)
[LEXTOKEN] IDENTIFIER -> 'Persona' (line 40, pos 605)
[LEXTOKEN] LBRACE -> '{' (line 40, pos 612)
[LEXTOKEN] IDENTIFIER -> 'nombre' (line 40, pos 613)
[LEXTOKEN] COLON -> ':' (line 40, pos 619)
[LEXTOKEN] IDENTIFIER -> 'nombre' (line 40, pos 621)
[LEXTOKEN] COMMA -> ',' (line 40, pos 627)
[LEXTOKEN] IDENTIFIER -> 'edad' (line 40, pos 629)
[LEXTOKEN] COLON -> ':' (line 40, pos 633)
[LEXTOKEN] IDENTIFIER -> 'edad' (line 40, pos 635)
[LEXTOKEN] COMMA -> ',' (line 40, pos 639)
[LEXTOKEN] IDENTIFIER -> 'activo' (line 40, pos 641)
[LEXTOKEN] COLON -> ':' (line 40, pos 647)
[LEXTOKEN] IDENTIFIER -> 'activo' (line 40, pos 649)
[LEXTOKEN] RBRACE -> '}' (line 40, pos 655)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 42, pos 659)
[LEXTOKEN] DOT -> '.' (line 42, pos 662)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 42, pos 663)
[LEXTOKEN] LPAREN -> '(' (line 42, pos 670)
[LEXTOKEN] STRING -> '"Nombre:"' (line 42, pos 671)
[LEXTOKEN] COMMA -> ',' (line 42, pos 680)
[LEXTOKEN] IDENTIFIER -> 'persona' (line 42, pos 682)
[LEXTOKEN] DOT -> '.' (line 42, pos 689)
[LEXTOKEN] IDENTIFIER -> 'nombre' (line 42, pos 690)
[LEXTOKEN] RPAREN -> ')' (line 42, pos 696)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 43, pos 699)
[LEXTOKEN] DOT -> '.' (line 43, pos 702)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 43, pos 703)
[LEXTOKEN] LPAREN -> '(' (line 43, pos 710)
[LEXTOKEN] STRING -> '"Edad:"' (line 43, pos 711)
[LEXTOKEN] COMMA -> ',' (line 43, pos 718)
[LEXTOKEN] IDENTIFIER -> 'persona' (line 43, pos 720)
[LEXTOKEN] DOT -> '.' (line 43, pos 727)
[LEXTOKEN] IDENTIFIER -> 'edad' (line 43, pos 728)
[LEXTOKEN] RPAREN -> ')' (line 43, pos 732)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 44, pos 735)
[LEXTOKEN] DOT -> '.' (line 44, pos 738)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 44, pos 739)
[LEXTOKEN] LPAREN -> '(' (line 44, pos 746)
[LEXTOKEN] STRING -> '"Saldo:"' (line 44, pos 747)
[LEXTOKEN] COMMA -> ',' (line 44, pos 755)
[LEXTOKEN] IDENTIFIER -> 'saldo' (line 44, pos 757)
[LEXTOKEN] RPAREN -> ')' (line 44, pos 762)
[LEXTOKEN] IF -> 'if' (line 46, pos 766)
[LEXTOKEN] IDENTIFIER -> 'persona' (line 46, pos 769)
[LEXTOKEN] DOT -> '.' (line 46, pos 776)
[LEXTOKEN] IDENTIFIER -> 'edad' (line 46, pos 777)
[LEXTOKEN] GT -> '>' (line 46, pos 782)
[LEXTOKEN] NUMBER -> '18' (line 46, pos 784)
[LEXTOKEN] AND -> '&&' (line 46, pos 787)
[LEXTOKEN] IDENTIFIER -> 'persona' (line 46, pos 790)
[LEXTOKEN] DOT -> '.' (line 46, pos 797)
[LEXTOKEN] IDENTIFIER -> 'activo' (line 46, pos 798)
[LEXTOKEN] LBRACE -> '{' (line 46, pos 805)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 47, pos 809)
[LEXTOKEN] DOT -> '.' (line 47, pos 812)
